MS10614	O86:K113:H30
MS10615	:H12
MS10616	O32*:K124:H9
MS10617	:H19
MS10618	O139:K156-D1:H1
MS10619	O139:K156-D1:H12
MS10620	O139:K156-D1:H1
MS10621	O139:K156-D1:H12
MS10622	:H12
MS10623	O139:K156-D1:H1
MS10624	O86:K113:H10
MS10625	:H19
MS10626	O139:K156-D1:H1
MS10627	O-:K156-D1:H1
MS10628	O98:K113:H5
MS10629	O157:K113:H19
MS10630	0157:K113:H19
MS10631	O-:K156-D1H10
MS10632	O141:K156-D1:H4
MS10633	O141:K156-D1:H4
MS10634	O141:K156-D1:H4
MS10635	O141:K156-D1:H4
MS10636	O139:K156-D1:H1
MS10637	O141:K156-D1:H4
MS10638	O139:K156-D1:H1
MS10639	O-:K156-D1:H4
MS10640	O-:K156-D1:H12
MS10641	O-:K156-D1:H4
MS10642	O141:K156-D1:H4
MS10643	O-:K156-D1:H4
MS10644	O102:K156-D1:H23
MS10645	O45:K113:H19
MS10646	O33:K113:H4
MS10647	O33:K113:H4
MS10648	O86:K133:H10
MS10649	:H12
MS10650	O-:K156-D1:H10
MS10651	O-:K156-D1:H10
MS10652	O132*:K53:H10
MS10653	O-:K156-D1:H4
MS10657	O132*:K53:H10
MS10658	O102:K156-D1:H23
MS10659	O-:K156-D1:H1
MS10660	O-:K113:H4
MS10661	O-:K54:H34
MS10662	O153var1:K54:H34
MS10663	O153var1:K54:H34
MS10664	O153var1:K54:H34
MS10665	O131:K113:H10
MS10666	O109:K113:H25
NS64-27	O139:K156-D1:H1
NS64-28	O8:H4
NS64-29	O139:K1568-D1:H1
NS64-39	O139:K156-D1:H1
